date	total_count	lineage_count	total_count_rolling	lineage_count_rolling	proportion	proportion_ci_lower	proportion_ci_upper	dateTime	source
"2020-02-07"	30	1	30	1	0.03333333333333333	0.003620464373791665	0.14541777735402006	"2020-02-07T05:00:00.000Z"	
"2020-02-08"	43	0	36.5	0.5	0.0136986301369863	0.000013545366988825864	0.06694448234237448	"2020-02-08T05:00:00.000Z"	
"2020-02-09"	48	0	40.333333333333336	0.3333333333333333	0.008264462809917354	0.00001219930657518636	0.060497975214079645	"2020-02-09T05:00:00.000Z"	
"2020-02-10"	30	0	37.75	0.25	0.006622516556291391	0.000012837148145041117	0.06355825497022041	"2020-02-10T05:00:00.000Z"	
"2020-02-11"	26	0	35.4	0.2	0.005649717514124295	0.000013929610979532534	0.06877653611605908	"2020-02-11T05:00:00.000Z"	
"2020-02-12"	15	0	32	0.16666666666666666	0.005208333333333333	0.000015225304324521508	0.07492776342928391	"2020-02-12T05:00:00.000Z"	
"2020-02-13"	24	0	30.857142857142858	0.14285714285714285	0.004629629629629629	0.000015712479537001282	0.07723003565348177	"2020-02-13T05:00:00.000Z"	
"2020-02-14"	24	0	30	0	0	0.000016231861223464357	0.07967817381725997	"2020-02-14T05:00:00.000Z"	
"2020-02-15"	113	0	40	0	0	0.00001219930657518636	0.060497975214079645	"2020-02-15T05:00:00.000Z"	
"2020-02-16"	39	0	38.714285714285715	0	0	0.00001251010253530656	0.06199038426935264	"2020-02-16T05:00:00.000Z"	
"2020-02-17"	60	0	43	0	0	0.000011353146034219708	0.05642272440165041	"2020-02-17T05:00:00.000Z"	
"2020-02-18"	27	0	43.142857142857146	0	0	0.000011353146034219708	0.05642272440165041	"2020-02-18T05:00:00.000Z"	
"2020-02-19"	33	0	45.714285714285715	0	0	0.000010616751927119647	0.05286170463923311	"2020-02-19T05:00:00.000Z"	
"2020-02-20"	46	0	48.857142857142854	0	0	0.000009970066657287018	0.04972338528782203	"2020-02-20T05:00:00.000Z"	
"2020-02-21"	59	0	53.857142857142854	0	0	0.000009051191172037456	0.04524621037882053	"2020-02-21T05:00:00.000Z"	
"2020-02-22"	58	0	46	0	0	0.000010616751927119647	0.05286170463923311	"2020-02-22T05:00:00.000Z"	
"2020-02-23"	48	0	47.285714285714285	0	0	0.000010392066291527431	0.051772500175186045	"2020-02-23T05:00:00.000Z"	
"2020-02-24"	77	0	49.714285714285715	0	0	0.000009771663301804058	0.04875845944407136	"2020-02-24T05:00:00.000Z"	
"2020-02-25"	81	0	57.42857142857143	0	0	0.000008576904275256292	0.042927005803756184	"2020-02-25T05:00:00.000Z"	
"2020-02-26"	93	0	66	0	0	0.000007411762139215877	0.03720561031849754	"2020-02-26T05:00:00.000Z"	
"2020-02-27"	128	0	77.71428571428571	0	0	0.000006275150301788441	0.031591300912841735	"2020-02-27T05:00:00.000Z"	
"2020-02-28"	197	0	97.42857142857143	0	0	0.000005049169109898994	0.025498792336140684	"2020-02-28T05:00:00.000Z"	
"2020-02-29"	151	0	110.71428571428571	0	0	0.0000044137728963029014	0.02232611090258803	"2020-02-29T05:00:00.000Z"	
"2020-03-01"	220	0	135.28571428571428	0	0	0.0000036305569545375232	0.01840110110345993	"2020-03-01T05:00:00.000Z"	
"2020-03-02"	341	0	173	0	0	0.000002834247338168398	0.014394306624689778	"2020-03-02T05:00:00.000Z"	
"2020-03-03"	416	0	220.85714285714286	0	0	0.0000022193613564976593	0.011289189147385454	"2020-03-03T05:00:00.000Z"	
"2020-03-04"	475	0	275.42857142857144	0	0	0.0000017839561053273694	0.009084516209663175	"2020-03-04T05:00:00.000Z"	
"2020-03-05"	479	0	325.57142857142856	0	0	0.0000015050851949446601	0.00766987165222301	"2020-03-05T05:00:00.000Z"	
"2020-03-06"	482	0	366.2857142857143	0	0	0.0000013407074811966813	0.006835077291972536	"2020-03-06T05:00:00.000Z"	
"2020-03-07"	445	0	408.2857142857143	0	0	0.000001202778129052969	0.006134059358735865	"2020-03-07T05:00:00.000Z"	
"2020-03-08"	463	0	443	0	0	0.0000011078041928364996	0.005651072167893554	"2020-03-08T05:00:00.000Z"	
"2020-03-09"	1020	1	540	0.14285714285714285	0.0002645502645502645	9.089019580660828e-7	0.00463879992662865	"2020-03-09T04:00:00.000Z"	
"2020-03-10"	950	0	616.2857142857143	0.14285714285714285	0.00023180343069077419	7.968102596945127e-7	0.0040678781853438995	"2020-03-10T04:00:00.000Z"	
"2020-03-11"	1076	0	702.1428571428571	0.14285714285714285	0.0002034587995930824	6.992301257231117e-7	0.0035706022361286925	"2020-03-11T04:00:00.000Z"	
"2020-03-12"	1270	1	815.1428571428571	0.2857142857142857	0.00035050823694356814	6.023114230160013e-7	0.0030764512220732036	"2020-03-12T04:00:00.000Z"	
"2020-03-13"	1416	0	948.5714285714286	0.2857142857142857	0.0003012048192771084	5.17286715353042e-7	0.0026427413106853855	"2020-03-13T04:00:00.000Z"	
"2020-03-14"	1288	0	1069	0.2857142857142857	0.00026727248429774154	4.592325764905038e-7	0.0023464995273908412	"2020-03-14T04:00:00.000Z"	
"2020-03-15"	3477	7	1499.5714285714287	1.2857142857142858	0.0008573878250928837	0.00007194116534794784	0.0031118024593027593	"2020-03-15T04:00:00.000Z"	
"2020-03-16"	2249	1	1675.142857142857	1.2857142857142858	0.0007675251577690603	0.00006442404404445097	0.0027870937761798054	"2020-03-16T04:00:00.000Z"	
"2020-03-17"	2199	0	1853.5714285714287	1.2857142857142858	0.0006936416184971098	0.000058203373153904476	0.0025183082893249775	"2020-03-17T04:00:00.000Z"	
"2020-03-18"	2263	0	2023.142857142857	1.2857142857142858	0.0006355034599632821	0.000053340632828974526	0.0023081475819746178	"2020-03-18T04:00:00.000Z"	
"2020-03-19"	2101	1	2141.8571428571427	1.2857142857142858	0.0006002801307276731	0.000050376993014009576	0.0021800420790675235	"2020-03-19T04:00:00.000Z"	
"2020-03-20"	2182	0	2251.285714285714	1.2857142857142858	0.0005711022272986865	0.000047937379221869624	0.0020745759273884667	"2020-03-20T04:00:00.000Z"	
"2020-03-21"	1815	0	2326.5714285714284	1.2857142857142858	0.0005526218838265996	0.00004637160875976295	0.0020068808757613965	"2020-03-21T04:00:00.000Z"	
"2020-03-22"	1924	0	2104.714285714286	0.2857142857142857	0.0001357496775945157	2.3324284425107744e-7	0.0011924688476578837	"2020-03-22T04:00:00.000Z"	
"2020-03-23"	2922	0	2200.8571428571427	0.14285714285714285	0.00006490977541217708	2.2307075554890042e-7	0.0011404930612534383	"2020-03-23T04:00:00.000Z"	
"2020-03-24"	2836	0	2291.8571428571427	0.14285714285714285	0.00006233248145608676	2.142150738690106e-7	0.0010952414485260581	"2020-03-24T04:00:00.000Z"	
"2020-03-25"	2792	0	2367.4285714285716	0.14285714285714285	0.000060342746801834415	2.0742824159770551e-7	0.0010605600538110154	"2020-03-25T04:00:00.000Z"	
"2020-03-26"	2803	0	2467.714285714286	0	0	1.9894034527421004e-7	0.0010171843564913312	"2020-03-26T04:00:00.000Z"	
"2020-03-27"	2835	0	2561	0	0	1.9171674345778628e-7	0.0009802681001756719	"2020-03-27T04:00:00.000Z"	
"2020-03-28"	2218	0	2618.5714285714284	0	0	1.8747141751432418e-7	0.0009585717025280163	"2020-03-28T04:00:00.000Z"	
"2020-03-29"	1945	0	2621.5714285714284	0	0	1.872569397963239e-7	0.0009574755683367281	"2020-03-29T04:00:00.000Z"	
"2020-03-30"	3056	0	2640.714285714286	0	0	1.85909895216334e-7	0.0009505911817726939	"2020-03-30T04:00:00.000Z"	
"2020-03-31"	2785	0	2633.4285714285716	0	0	1.8647470258921971e-7	0.0009534777677959941	"2020-03-31T04:00:00.000Z"	
"2020-04-01"	2892	1	2647.714285714286	0.14285714285714285	0.00005395489370885939	1.854184880109107e-7	0.0009480797184328536	"2020-04-01T04:00:00.000Z"	
"2020-04-02"	2410	0	2591.5714285714284	0.14285714285714285	0.00005512375282509233	1.8942405624291016e-7	0.0009685510245679726	"2020-04-02T04:00:00.000Z"	
"2020-04-03"	2472	0	2539.714285714286	0.14285714285714285	0.000056249296883788945	1.9330164698172482e-7	0.0009883678750610715	"2020-04-03T04:00:00.000Z"	
"2020-04-04"	1762	0	2474.5714285714284	0.14285714285714285	0.00005773005426625101	1.9837774260309717e-7	0.0010143092214575655	"2020-04-04T04:00:00.000Z"	
"2020-04-05"	1481	0	2408.285714285714	0.14285714285714285	0.00005931901767706727	2.038968154797613e-7	0.001042513635373941	"2020-04-05T04:00:00.000Z"	
"2020-04-06"	2574	0	2339.4285714285716	0.14285714285714285	0.00006106497313141182	2.0991108442821583e-7	0.0010732477697548866	"2020-04-06T04:00:00.000Z"	
"2020-04-07"	2235	1	2260.8571428571427	0.2857142857142857	0.00012637432073802604	2.1715179757779473e-7	0.001110248028529263	"2020-04-07T04:00:00.000Z"	
"2020-04-08"	2249	0	2169	0.14285714285714285	0.00006586313640255549	2.263614151212123e-7	0.0011573074672287147	"2020-04-08T04:00:00.000Z"	
"2020-04-09"	1888	0	2094.4285714285716	0.14285714285714285	0.0000682081713389264	2.3446794676974764e-7	0.0011987285070753986	"2020-04-09T04:00:00.000Z"	
